,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-07-21,258.66348,257.92606,0.053910352,2.8985474,-1.7461348,299.94498,195.80058,0.0,0.6088966,0.7994574,0.0
1980-07-22,257.60257,257.62732,0.041479822,-0.16561158,-1.3437194,312.00928,186.99806,0.0,1.7228372,0.8032236,0.0
1980-07-23,257.97537,257.85593,0.0969132,-0.78656214,-3.1408405,245.12842,217.87068,0.0,2.0697906,0.817409,0.0
1980-07-24,259.8105,260.147,0.06922251,-0.6317663,-2.2441158,230.61263,227.47447,0.0,2.008531,0.82026553,0.0
1980-07-25,258.7111,257.2008,0.011217632,0.7811437,-0.36447263,309.5477,182.8209,0.0,0.21036524,0.79587966,0.0
1980-07-26,255.98425,252.16718,0.0014091452,6.192291,-0.047660828,327.0586,149.26988,0.0,0.027757108,0.7876702,0.0
1980-07-27,259.2121,257.9625,-0.027618429,10.384639,0.89449054,276.6945,202.11922,0.0,0.6643633,0.804874,0.0
1980-07-28,263.98422,262.86703,-0.074809335,9.361304,2.4237406,257.41324,219.70116,0.0,1.330801,0.80648285,0.0
1980-07-29,264.21597,263.2018,-0.015623648,6.132681,0.50959015,271.10318,221.9414,0.0,1.059605,0.8037171,0.0
1980-07-30,260.09784,258.69678,-0.037229422,7.3473496,1.2042335,298.08667,179.41576,0.0,0.22925007,0.792309,0.0
